SYMBOL,logFC,logCPM,LR,PValue,FDR
DSG2,2.241372392,8.560856224,246.4293176,1.56E-55,1.99E-54
DSC2,2.544498792,7.497430783,163.4858574,1.96E-37,1.35E-36
SFN,2.673454584,9.855029305,166.9834324,3.37E-38,2.38E-37
GGH,2.772825861,5.906621386,255.7654383,1.44E-57,1.92E-56
C1orf74,2.828318646,3.368013973,275.6612648,6.62E-62,9.96E-61
DTL,2.877252987,5.058753749,377.4243505,4.53E-84,1.14E-82
TYMS,2.881314508,5.702667337,310.1613977,2.01E-69,3.62E-68
UCK2,2.881558701,5.114056227,474.6790849,3.07E-105,1.16E-103
PFN2,3.089423683,8.199424834,230.3756098,4.94E-52,5.61E-51
CHEK1,3.110760395,4.286774675,602.3337533,5.20E-133,3.55E-131
FGFBP1,3.249768847,6.675066671,89.33454814,3.33E-21,1.13E-20
CXCL13,3.314234274,6.885557922,53.19092241,3.03E-13,7.10E-13
CLDN1,3.317323131,9.554207668,116.4803474,3.73E-27,1.64E-26
ECT2,3.38464088,6.971778309,477.4232516,7.77E-106,2.99E-104
ZWINT,3.490637305,5.717870025,601.2357131,9.02E-133,6.11E-131
GREM1,3.522038352,6.259385323,131.3168257,2.11E-30,1.07E-29
AURKA,3.58183709,5.260327761,648.7485343,4.18E-143,3.40E-141
NUSAP1,3.602484108,5.988649641,625.2996451,5.26E-138,4.03E-136
EZH2,3.60710247,5.065892437,479.7533476,2.42E-106,9.36E-105
HMMR,3.672498638,4.439809071,450.1359175,6.74E-100,2.32E-98
RFC4,3.677259472,5.832363868,493.4969124,2.47E-109,1.01E-107
BUB1,3.689618418,5.32266049,667.8657468,2.91E-147,2.68E-145
CDCA7,3.691284627,5.147508627,356.5732551,1.57E-79,3.53E-78
ABCC5,3.709263005,8.592523678,202.7998891,5.12E-46,4.79E-45
CDH3,3.738167539,7.829077726,233.5064617,1.02E-52,1.19E-51
TK1,3.739503548,6.813442215,515.3308141,4.39E-114,1.96E-112
KIF11,3.789657355,5.668487278,763.4277358,4.83E-168,6.72E-166
CENPE,3.794509198,4.523762908,516.8147808,2.09E-114,9.35E-113
PRC1,3.885421506,6.426944856,723.9417658,1.86E-159,2.23E-157
RAD51,3.999643587,4.00495072,620.9640958,4.61E-137,3.36E-135
RRM2,4.003568045,6.692754382,543.646408,3.04E-120,1.50E-118
DSP,4.008951181,10.38723418,380.2344013,1.11E-84,2.80E-83
KIF20A,4.009193597,5.222570918,574.5289302,5.81E-127,3.34E-125
KIF23,4.015143568,5.385618934,850.6438341,5.27E-187,1.09E-184
CDKN3,4.057956995,3.980256431,438.757296,2.02E-97,6.51E-96
HELLS,4.08020273,4.03393682,597.1512519,6.97E-132,4.65E-130
CCNA2,4.085636157,5.469334556,657.8246949,4.44E-145,3.85E-143
UBE2T,4.146908252,4.836982866,620.4246812,6.04E-137,4.38E-135
TRIP13,4.20277213,5.695401908,578.6285758,7.45E-128,4.42E-126
GINS1,4.290239331,4.971635625,699.7628331,3.37E-154,3.61E-152
CEP55,4.324864658,5.478010108,636.6923394,1.75E-140,1.39E-138
CENPF,4.345923406,6.734075527,553.5510032,2.13E-122,1.10E-120
BMP7,4.42242624,6.177398281,216.8077626,4.49E-49,4.64E-48
PKMYT1,4.455521927,4.970422811,660.3627958,1.25E-145,1.11E-143
ANLN,4.463021421,6.314614271,653.6884156,3.52E-144,2.97E-142
SERPINB3,4.470495486,7.271656108,79.35378576,5.19E-19,1.60E-18
PLK1,4.485599567,5.427412215,776.0583314,8.66E-171,1.28E-168
CDC6,4.565192383,5.428737596,687.6774953,1.43E-151,1.48E-149
ASPM,4.611779745,5.402609205,604.5198455,1.74E-133,1.20E-131
CCNB2,4.664065288,5.516164354,790.7864705,5.44E-174,8.74E-172
BUB1B,4.733216371,5.146296075,756.3489582,1.67E-166,2.20E-164
KIF2C,4.755691244,5.379000999,779.7583788,1.36E-171,2.05E-169
B4GALNT1,4.794263489,3.908158135,194.3723303,3.53E-44,3.11E-43
UCHL1,4.827539552,7.194854094,150.6716451,1.24E-34,7.60E-34
TRIM29,4.829671067,8.779532822,326.3848435,5.89E-73,1.14E-71
FOXM1,4.834751148,6.718769011,599.5041025,2.15E-132,1.45E-130
