Gene_name	EnsemblID	Median(Tumor)	Median(Normal)	log2FC	FDR
A2M	ENSG00000175899	81.951	1715.959	-4.371	3.34E-280
A2ML1	ENSG00000166535	5.61	0.11	2.574	4.72E-96
AADACP1	ENSG00000240602	2.1	0.22	1.345	3.00E-62
AASS	ENSG00000008311	4.605	19.535	-1.873	9.40E-107
AATK	ENSG00000181409	0.995	15.225	-3.024	1.62E-297
ABC7-42404400C24.1	ENSG00000277758	0.27	6.64	-2.589	1.34E-170
ABCA10	ENSG00000154263	0.445	5.825	-2.24	4.64E-162
ABCA12	ENSG00000144452	1.93	0.01	1.537	3.18E-126
ABCA13	ENSG00000179869	6.41	0.555	2.253	9.47E-72
ABCA3	ENSG00000167972	6.84	136.21	-4.129	7.90E-121
ABCA6	ENSG00000154262	1.17	15.875	-2.959	1.26E-235
ABCA7	ENSG00000064687	8.34	29.294	-1.698	6.00E-107
ABCA8	ENSG00000141338	0.58	27.625	-4.179	0.00E+00
ABCA9	ENSG00000154258	0.34	7.58	-2.679	8.71E-237
ABCB1	ENSG00000085563	0.83	3.55	-1.314	5.77E-121
ABCC1	ENSG00000103222	41.671	18.64	1.119	8.21E-50
ABCC3	ENSG00000108846	10.81	25.085	-1.143	5.16E-29
ABCC5	ENSG00000114770	68.154	14.885	2.122	6.86E-84
ABCC6	ENSG00000091262	1.705	11.18	-2.171	1.14E-141
ABCC6P1	ENSG00000256340	0.39	2.37	-1.278	3.96E-114
ABCC8	ENSG00000006071	0.15	8.31	-3.017	8.96E-126
ABCC9	ENSG00000069431	1.1	5.335	-1.593	1.90E-132
ABCD4	ENSG00000119688	22.56	47.831	-1.051	1.16E-89
ABI3	ENSG00000108798	6.675	18.26	-1.327	4.25E-98
ABI3BP	ENSG00000154175	4.93	81.145	-3.792	3.84E-237
ABLIM2	ENSG00000163995	1.865	5.745	-1.235	3.46E-54
ABLIM3	ENSG00000173210	2.05	26.635	-3.18	2.08E-250
ABR	ENSG00000159842	23.185	83.505	-1.805	7.69E-161
ABRACL	ENSG00000146386	92.065	28.521	1.657	3.30E-147
ABTB1	ENSG00000114626	15.25	62.904	-1.975	3.15E-168
AC000123.3	ENSG00000279265	1.455	6.14	-1.54	5.00E-129
AC000123.4	ENSG00000224138	0.74	3.575	-1.395	2.10E-135
AC002116.8	ENSG00000248101	0.62	2.465	-1.097	1.66E-52
AC002398.12	ENSG00000267328	0.18	3.885	-2.05	1.05E-155
AC004540.4	ENSG00000225792	0.35	4.32	-1.979	1.07E-154
AC004540.5	ENSG00000214870	0.62	2.89	-1.264	1.65E-111
AC004623.3	ENSG00000279488	0.38	2.21	-1.218	1.32E-112
AC004967.7	ENSG00000243554	2.295	0.635	1.011	8.92E-109
AC005104.3	ENSG00000223374	0.955	5.23	-1.672	2.22E-117
AC005154.6	ENSG00000196295	16.74	67.069	-1.94	2.82E-135
AC005154.7	ENSG00000244480	0.28	2.805	-1.572	3.89E-193
AC005253.2	ENSG00000268030	1.37	5.205	-1.389	1.58E-95
AC005255.3	ENSG00000256210	5.21	0	2.635	3.12E-125
AC005336.4	ENSG00000267056	1.16	0.05	1.041	2.78E-53
AC005519.4	ENSG00000258559	0.575	3.42	-1.489	1.13E-116
AC005537.2	ENSG00000232006	1.79	0	1.48	2.14E-145
AC005538.3	ENSG00000279809	2.28	0.15	1.512	4.55E-115
AC005740.6	ENSG00000271871	0.11	1.465	-1.151	3.63E-164
AC005753.1	ENSG00000278925	0.04	1.29	-1.139	6.23E-169
AC005944.2	ENSG00000267469	4.785	14.015	-1.376	2.75E-26
AC006011.4	ENSG00000244563	14.245	5.88	1.148	1.13E-95
AC006116.20	ENSG00000267710	3.42	1.055	1.105	4.14E-38
AC006128.2	ENSG00000279716	2.315	13.575	-2.136	9.66E-103
AC006129.2	ENSG00000268027	1.04	3.2	-1.042	4.13E-59
AC006262.5	ENSG00000268621	3.53	0	2.179	5.97E-83
AC006273.5	ENSG00000267530	0.41	3.53	-1.684	1.18E-132
AC006449.2	ENSG00000279119	15.144	34.695	-1.145	2.29E-76
AC006547.13	ENSG00000236540	1.635	4.995	-1.186	1.10E-114
AC006547.14	ENSG00000234409	0.11	1.43	-1.13	6.85E-140
AC006942.4	ENSG00000269194	0.485	2.51	-1.241	6.61E-142
AC007009.1	ENSG00000244239	0.245	1.87	-1.205	4.02E-30
AC007193.10	ENSG00000269124	0	1.025	-1.018	2.66E-124
AC007278.3	ENSG00000234389	0.04	2.915	-1.912	2.75E-163
AC007326.1	ENSG00000279560	0.965	5.67	-1.763	1.05E-80
AC007405.6	ENSG00000239467	1.87	6.2	-1.327	3.29E-58
AC007566.10	ENSG00000244055	0.84	6.645	-2.055	1.22E-168
AC007743.1	ENSG00000233251	0.28	3.46	-1.801	1.01E-176
AC007879.7	ENSG00000229647	2.13	0.395	1.166	1.29E-81
