Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
TP53		736	698	83.0	Yes
TTN		1432	600	71.3	No
RYR2		517	347	41.3	No
MUC16		607	339	40.3	No
LRP1B		458	308	36.6	Yes
USH2A		397	295	35.1	No
CSMD3		435	289	34.4	No
ZFHX4		375	276	32.8	No
SYNE1		339	255	30.3	No
FAM135B		254	194	23.1	No
RYR3		251	190	22.6	No
KMT2D		219	185	22.0	Yes
SPTA1		231	176	20.9	No
NAV3		207	176	20.9	No
PKHD1L1		192	165	19.6	No
PKHD1		182	163	19.4	No
CDH10		196	161	19.1	No
XIRP2		210	161	19.1	No
FLG		207	160	19.0	No
DNAH5		218	157	18.7	No
SI		200	157	18.7	No
COL11A1		196	156	18.5	No
PAPPA2		185	153	18.2	No
ERICH3		174	152	18.1	No
DNAH11		167	150	17.8	No
PCLO		193	148	17.6	Yes
LRP2		177	147	17.5	No
CSMD1		189	147	17.5	No
PCDH15		204	147	17.5	No
DNAH8		174	145	17.2	No
ADGRV1		158	143	17.0	No
MUC17		177	143	17.0	No
COL22A1		170	143	17.0	No
ADAMTS12		167	141	16.8	No
HCN1		167	141	16.8	No
RYR1		155	138	16.4	No
DNAH9		170	136	16.2	No
CUBN		165	136	16.2	No
CNTNAP5		151	136	16.2	No
FAT3		162	131	15.6	No
APOB		147	130	15.5	No
ZNF536		139	130	15.5	No
DNAH7		157	130	15.5	No
KMT2C		138	130	15.5	Yes
CDKN2A		130	129	15.3	Yes
PCDH11X		160	129	15.3	No
MUC5B		148	128	15.2	No
ZNF804B		141	127	15.1	No
NFE2L2		131	126	15.0	Yes
SPHKAP		152	126	15.0	No
NEB		141	125	14.9	No
ANK2		136	124	14.7	No
FMN2		140	124	14.7	No
DMD		144	123	14.6	No
TNR		134	123	14.6	No
ADGRB3		134	122	14.5	No
LRRC7		142	122	14.5	No
BRINP3		131	122	14.5	No
RELN		170	121	14.4	Yes
ABCA13		146	121	14.4	No
TPTE		141	118	14.0	No
FAT4		128	118	14.0	Yes
AHNAK2		165	118	14.0	No
MYH2		132	117	13.9	No
FAT1		134	115	13.7	Yes
TENM1		130	113	13.4	No
CTNNA2		121	111	13.2	No
LAMA2		119	111	13.2	No
SCN1A		141	111	13.2	No
MROH2B		133	111	13.2	No
PEG3		134	110	13.1	No
PDE4DIP		115	109	13.0	Yes
PIK3CA		115	108	12.8	Yes
LRRK2		113	108	12.8	Yes
CPS1		122	107	12.7	Yes
MACF1		121	106	12.6	No
CNTNAP2		130	106	12.6	No
PLXNA4		117	104	12.4	No
ZNF804A		129	104	12.4	No
CDH18		118	102	12.1	No
MYH1		116	102	12.1	No
PXDNL		109	101	12.0	No
HERC2		107	100	11.9	No
PRDM9		116	100	11.9	No
TNN		109	100	11.9	No
OBSCN		112	100	11.9	No
BIRC6		114	99	11.8	No
HMCN1		123	99	11.8	No
CSMD2		118	99	11.8	No
SLITRK3		107	98	11.7	No
CDH12		110	97	11.5	No
NF1		103	97	11.5	Yes
THSD7B		122	97	11.5	No
CRB1		109	96	11.4	No
ADAMTS20		110	96	11.4	No
ANKRD30A		110	95	11.3	No
COL12A1		96	94	11.2	No
MYH8		108	94	11.2	No
ZNF208		105	93	11.1	No
KEAP1		99	93	11.1	Yes
STAB2		99	93	11.1	No
TMEM132D		107	93	11.1	No
FBN2		99	92	10.9	No
ALMS1		106	92	10.9	No
NRXN1		102	92	10.9	No
SYNE2		124	92	10.9	No
VPS13B		111	92	10.9	No
KIAA1109		100	91	10.8	No
MYH4		93	90	10.7	No
DNAH10		98	90	10.7	No
LCT		94	89	10.6	No
LRFN5		99	89	10.6	No
SORCS1		95	88	10.5	No
COL6A6		94	88	10.5	No
CDH9		94	87	10.3	No
PREX2		92	87	10.3	Yes
DYSF		93	86	10.2	No
MDN1		109	86	10.2	No
PCDH10		90	86	10.2	No
MAGEC1		91	85	10.1	No
EPB41L3		94	85	10.1	No
ATP10A		94	85	10.1	No
AHNAK		94	85	10.1	No
CACNA1E		93	84	10.0	No
SCN2A		92	84	10.0	No
ADAMTS16		90	84	10.0	No
RP1		88	83	9.9	No
ADGRL3		91	83	9.9	No
CNTNAP4		99	83	9.9	No
ADGRG4		89	83	9.9	No
FAM47C		99	83	9.9	No
CTNND2		88	82	9.8	No
TAF1L		88	82	9.8	No
DCHS2		93	81	9.6	No
C6		88	80	9.5	No
COL6A3		88	80	9.5	No
GRIN2B		89	80	9.5	No
USP34		85	80	9.5	No
MYCBP2		82	80	9.5	No
MYO18B		88	80	9.5	No
PTEN		83	79	9.4	Yes
VCAN		96	77	9.2	No
PPFIA2		82	77	9.2	No
