Gene_name	Description	Tumor	Normal
A2M		81951	1715959
A2ML1		5.61	0.11
AADACP1		2.1	0.22
AASS		4605	19535
AATK		995	15225
ABC7-42404400C24.1		0.27	6.64
ABCA10		445	5825
ABCA12		1.93	0.01
ABCA13		6.41	555
ABCA3		6.84	136.21
ABCA6		1.17	15875
ABCA7		8.34	29294
ABCA8		0.58	27625
ABCA9		0.34	7.58
ABCB1		0.83	3.55
ABCC1		41671	18.64
ABCC3		10.81	25085
ABCC5		68154	14885
ABCC6		1705	11.18
ABCC6P1		0.39	2.37
ABCC8		0.15	8.31
ABCC9		1.1	5335
ABCD4		22.56	47831
ABI3		6675	18.26
ABI3BP		4.93	81145
ABLIM2		1865	5745
ABLIM3		2.05	26635
ABR		23185	83505
ABRACL		92065	28521
ABTB1		15.25	62904
AC000123.3		1455	6.14
AC000123.4		0.74	3575
AC002116.8		0.62	2465
AC002398.12		0.18	3885
AC004540.4		0.35	4.32
AC004540.5		0.62	2.89
AC004623.3		0.38	2.21
AC004967.7		2295	635
AC005104.3		955	5.23
AC005154.6		16.74	67069
AC005154.7		0.28	2805
AC005253.2		1.37	5205
AC005255.3		5.21	0
AC005336.4		1.16	0.05
AC005519.4		575	3.42
AC005537.2		1.79	0
AC005538.3		2.28	0.15
AC005740.6		0.11	1465
AC005753.1		0.04	1.29
AC005944.2		4785	14015
AC006011.4		14245	5.88
AC006116.20		3.42	1055
AC006128.2		2315	13575
AC006129.2		1.04	3.2
AC006262.5		3.53	0
AC006273.5		0.41	3.53
AC006449.2		15144	34695
AC006547.13		1635	4995
AC006547.14		0.11	1.43
AC006942.4		485	2.51
AC007009.1		245	1.87
AC007193.10		0	1025
AC007278.3		0.04	2915
AC007326.1		965	5.67
AC007405.6		1.87	6.2
AC007566.10		0.84	6645
AC007743.1		0.28	3.46
AC007879.7		2.13	395
AC007952.5		0.21	1.81
AC008268.1		0.02	4.38
AC009065.4		1805	0
AC009120.6		3.87	12.27
AC009264.1		1.18	0
AC009299.3		4455	1395
AC009950.2		0.66	2.66
AC010168.1		15.15	47869
AC010894.3		3.63	1.02
AC010976.2		0.82	2925
AC015849.19		0.33	1845
AC016292.3		3.16	695
AC017104.6		0.65	2575
AC018766.4		2715	10.92
AC019117.2		0.45	2.67
AC021066.1		1.96	103181
AC026471.6		0.24	1.76
AC055736.1		70663	0
AC055736.2		3825	0
AC055736.3		326932	0
AC058791.1		0.2	1.43
AC068580.5		0	2345
AC068580.6		0.63	4.86
AC068831.15		4.64	18375
AC068831.16		1035	0
AC073850.6		0	1.76
AC074286.1		5525	1.36
AC074289.1		2.96	7.86
AC079630.2		0.14	1815
AC079630.4		0.53	7.44
AC079781.7		0	1425
AC083843.1		675	3.96
AC083843.4		0.2	1825
AC090616.2		0.15	3295
AC093110.3		505	12.93
AC093495.4		1235	8.67
AC093642.3		365	1735
AC093838.4		6605	15555
AC093850.2		2145	0.13
AC098973.2		15625	0
AC104654.2		235	1.56
AC108488.4		2.24	7
AC109642.1		0.3	4175
AC114730.11		385	2185
AC116366.6		0.32	3.22
AC130469.1		0.12	1245
AC132008.1		0	1175
AC132217.4		4255	11545
AC137932.4		0.41	1885
AC137932.5		0.14	1.31
AC137934.1		1325	4.63
AC138035.2		3.96	18845
AC144530.1		2435	0.37
AC144831.1		0.36	2625
AC145124.2		0.85	3.06
AC147651.4		1.05	4.7
AC156455.1		0.67	2.49
AC159540.1		7665	24861
AC234582.1		3.2	16.64
AC239868.2		28408	10.91
AC239868.3		28408	10965
ACAA1		33531	75008
ACAA2		20664	48446
ACACB		1775	12.07
ACAD11		6675	19755
ACAD8		10925	27.58
ACADL		0.68	10205
ACADVL		177441	675774
ACAP1		9265	30.42
ACAP3		15.86	48301
ACBD4		4255	13.9
ACCS		5.22	30554
ACE		10.53	40651
ACHE		0.91	3.28
ACKR1		3.87	84788
ACKR3		77799	22465
ACKR4		735	4.65
ACOT7		44355	20075
ACOX2		1985	11.21
ACOXL		405	4.31
ACP5		71505	161355
ACR		195	2.43
ACRBP		1.43	5975
ACRC		0.43	2.75
ACSF2		17385	49924
ACSL1		35035	156437
ACSL5		6535	35.53
ACSM3		2635	9.82
ACSM5		0.27	2205
ACSS2		25365	70041
ACSS3		1235	8365
ACTA1		0.09	4.43
ACTA2		142611	602889
ACTA2-AS1		0.63	9.64
ACTC1		0.04	1295
ACTG2		8.32	89.94
ACTL6A		101824	24.45
ACTN2		0.15	5915
ACTR3		183609	72945
ACVRL1		6.59	106458
ADAM12		6.09	825
ADAM23		19751	1.02
ADAM33		0.7	22168
ADAM8		8.92	21444
ADAMDEC1		5.81	0.65
ADAMTS1		11.54	85585
ADAMTS10		2.15	27.06
ADAMTS15		0.8	6365
ADAMTS2		6.3	28.62
ADAMTS4		3.1	15.11
ADAMTS7		1.79	5785
ADAMTS7P3		0.04	18.17
ADAMTS8		0.24	43443
ADAMTS9		2.36	21.4
ADAMTS9-AS1		0.15	5405
ADAMTS9-AS2		0.1	2.31
ADAMTSL2		2405	21615
ADAMTSL3		0.51	7.57
ADAMTSL4		5.64	71149
ADAMTSL4-AS1		265	1.74
ADARB1		3.88	34974
ADAT2		3595	9.71
ADCY10P1		0.6	2515
ADCY4		2115	59.19
ADCY5		1.18	4785
ADCY6		6305	26015
ADCY7		8.3	21675
ADCY9		4.72	14.46
ADD1		63875	178576
ADGRA2		4805	14.87
ADGRB3		0.07	1515
ADGRD1		1275	43115
ADGRE1		405	1975
ADGRE2		2645	6.58
ADGRE4P		0.15	2.15
ADGRE5		22295	99174
ADGRF4		3165	0.11
ADGRF5		4.91	91325
ADGRG1		84062	40084
ADGRG3		0.85	15.7
ADGRG6		2555	11.79
ADGRL2		11555	80573
ADGRL4		4.19	20.37
ADH1B		2235	365898
ADH7		29494	0.1
ADHFE1		2055	17.56
ADIRF		46104	228721
ADIRF-AS1		4.59	16.23
ADM2		2.69	0.56
ADM5		0.9	3175
ADORA2A		3255	11.1
ADORA2B		8.55	2.83
ADPRH		4105	10.78
ADRA1A		0.01	4.01
ADRA1B		0.14	3095
ADRA1D		0.12	2.09
ADRA2A		0.81	2.91
ADRA2C		1.11	3395
ADRB1		0.47	10.71
ADRB2		1105	8875
AEBP1		85674	229149
AF011889.2		0.39	2075
AF064858.8		0.23	1.78
AF131215.2		0.77	2.95
AF131215.9		0.59	2.8
AFAP1L1		2.9	16595
AFF1		7.51	21105
AFF3		0.31	6995
AFG3L1P		8.12	21535
AGAP11		0.24	4.14
AGAP3		46486	108978
AGAP4		4.44	13545
AGAP5		1.78	6.52
AGAP6		5455	22229
AGAP9		3095	11.67
AGER		6945	718601
AGO4		6.16	14365
AGPAT4		2065	7095
AGR3		10.17	51674
AGRP		0.06	1925
AGT		0.81	3645
AGTPBP1		4805	14245
AGTR1		0.28	10.2
AGTR2		0.14	1435
AHCY		156.15	49275
AHCYL2		7.7	28335
AHI1		4.94	15.64
AHNAK		67923	158171
AHNAK2		34.71	4805
AHSA2		19515	79349
AIF1		41091	89012
AIF1L		4875	11345
AIM1L		6035	1445
AIM2		4185	1.39
AIMP2		31975	13614
AK1		41491	156519
AK4		22465	1.98
AK4P1		4385	485
AKAP12		3.09	32436
AKAP13		23.65	96385
AKAP17A		14.98	54.6
AKAP2		8955	68379
AKAP8L		31806	86638
AKAP9		13135	28.4
AKNA		8.25	36794
AKR1B10		68.23	0.2
AKR1B15		2415	0.02
AKR1C1		229881	37.37
AKR1C2		369325	22255
AKR1C3		139865	52.16
AKT3		4.28	16435
AL157871.2		0	1405
AL158801.1		7.18	0.57
AL162151.3		762027	247605
AL442127.1		0	8855
AL589743.1		2765	0.61
ALAS2		0.05	1.4
ALB		0.18	1.62
ALDH18A1		35305	12545
ALDH1A2		1.09	6.73
ALDH2		68823	230671
ALDH3A1		53434	2825
ALDH3B1		5025	50744
ALDH3B2		18775	0.41
ALDOA		1871785	818505
ALDOC		47.14	14315
ALG10		4205	1.42
ALG1L		28.3	0.54
ALG3		97005	28709
ALOX12P2		3.89	1335
ALOX15B		2945	31.85
ALOX5		11.53	148713
ALOX5AP		25664	160035
ALPK1		5875	14.14
ALPK3		0.75	5695
ALPL		14295	96753
ALPP		0.08	3.4
ALS2CL		7.7	49566
ALS2CR12		0.24	1515
ALYREF		110.56	44449
AMACR		11755	4.27
AMDHD2		11.94	26105
AMICA1		6.76	43931
AMIGO2		7295	15745
AMOTL2		12945	38349
AMPD2		24905	60454
AMT		4075	32175
AMTN		1245	0.06
AMY2B		2.01	34724
ANAPC2		17.85	45839
ANG		6.13	22645
ANGPT1		1555	16.59
ANGPTL1		0.39	10.72
ANK2		1.2	5.75
ANKDD1A		2.04	7.02
ANKEF1		4.06	1.1
ANKH		39.69	18.75
ANKHD1-EIF4EBP3		6765	15.42
ANKRD1		0.28	23195
ANKRD10		32.45	102.49
ANKRD10-IT1		2535	13.19
ANKRD13A		17655	36.37
ANKRD13D		28.32	57721
ANKRD18B		1.83	55
ANKRD20A17P		0.15	1645
ANKRD22		9525	1225
ANKRD29		6675	34054
ANKRD36		2.5	7.31
ANKRD36B		1.99	6235
ANKRD44		2.87	13135
ANKRD9		5.14	13125
ANKS1A		8715	20.07
ANKZF1		22455	55629
ANLN		19.95	1045
ANO2		0.4	6105
ANO6		15.06	31965
ANO8		2.94	8125
ANPEP		7.18	51976
ANTXR2		11825	32214
ANXA2P2		30.12	11.16
ANXA3		21065	116937
ANXA5		183736	398.13
ANXA6		37484	146966
ANXA8		71.55	9.2
ANXA8L1		39868	15.64
AOAH		6.85	15685
AOC2		0.42	2125
AOC3		7.45	214375
AOC4P		0.1	3585
AOX1		945	20.49
AP000254.8		1975	5885
AP000347.2		955	3745
AP000347.4		1305	4.59
AP000349.2		7.57	0.06
AP000442.1		1.06	3475
AP000892.6		3.02	17.85
AP001062.7		885	3.12
AP001062.8		0.19	1.63
AP001189.4		0.07	4545
AP003391.1		23413	0
AP1G2		44.8	102547
AP1S1		66546	24.56
AP2A2		26395	63835
APBB1		6.44	39.71
APBB1IP		3.72	15895
APBB2		7145	22545
APBB3		8.12	39121
APEX2		19635	8875
APOA1		0.16	1.91
APOA1BP		134965	56061
APOBEC3A		3065	14.09
APOBEC3B		21595	1605
APOBEC3C		34195	14075
APOBR		2855	12.71
APOC2		5225	2.02
APOD		14265	110618
APOH		75	2085
APOL3		12195	59.02
APOLD1		3.4	14845
APOO		24.39	10605
AQP1		37.96	632862
AQP4		2.18	34.93
AQP5		1.02	5.66
AQP7		0.13	1.85
AQP9		2.73	17864
ARAP1		42095	114304
ARAP1-AS1		1.98	0
ARAP2		4.85	11355
ARAP3		4.74	28824
ARC		0.23	3985
AREG		11955	32941
ARG1		0.09	3.67
ARGLU1		39325	248.43
ARHGAP10		5.85	16165
ARHGAP11A		9175	1315
ARHGAP15		4055	13.23
ARHGAP17		22	46339
ARHGAP18		6.49	18805
ARHGAP20		0.43	2.57
ARHGAP25		8605	20359
ARHGAP26		5.51	15985
ARHGAP27		17.23	44359
ARHGAP29		2985	26883
ARHGAP30		7085	23506
ARHGAP31		2585	13.14
ARHGAP33		3715	10.46
ARHGAP4		15.84	75.94
ARHGAP44		1.68	12.74
ARHGAP6		495	14735
ARHGAP9		9585	54824
ARHGDIB		110461	239618
ARHGEF1		47965	176802
ARHGEF10		4.7	33425
ARHGEF10L		8665	22325
ARHGEF15		1745	23795
ARHGEF17		7545	59309
ARHGEF19		22.46	7.32
ARHGEF2		26835	108582
ARHGEF25		10075	22.81
ARHGEF26		5.84	22.33
ARHGEF35		11625	3675
ARHGEF38		0.42	2785
ARHGEF39		5355	2135
ARHGEF4		16.28	6.21
ARHGEF40		8.21	32436
ARHGEF6		3.16	16.84
ARHGEF7		15.48	40115
ARID4A		3775	9955
ARID5A		17.07	56396
ARL17A		4.12	9525
ARL4C		35349	15925
ARL4D		25639	11.62
ARL6IP1		133162	55941
ARL6IP6		29045	13.76
ARMC1		19.54	9065
ARMC9		5355	12465
ARMCX1		5255	17.14
ARMCX4		2.57	9.53
ARNTL		7.44	24.04
ARNTL2		19.74	1.7
ARPC4-TTLL3		3.9	16.39
ARRB1		5.77	43696
ARRB2		31129	149333
ARRDC1		37314	77646
ARRDC2		12335	66826
ART4		115	1.75
ARTN		14.55	1195
ARVCF		6775	15985
ASAH1		77096	206392
ASAP3		7.97	19.64
ASF1B		21.87	1595
ASGR1		1.48	4475
ASGR2		0.48	2135
ASIC1		2495	0.69
ASIC3		0.9	5595
ASMTL-AS1		2.82	19.14
ASPA		0.11	2.57
ASPM		7.13	375
ASRGL1		5255	28964
ASUN		23.51	9415
ASXL1		22.41	49.9
ATAD2		14.47	4105
ATAD3C		1935	5135
ATF3		31195	85686
ATF5		38525	18.64
ATG16L2		8.76	82721
ATG2B		4145	10215
ATHL1		15.42	122657
ATOH8		1.83	50.72
ATP10A		1.2	8.18
ATP11A		9045	42779
ATP11B		36146	14595
ATP13A4		2.62	35.62
ATP13A4-AS1		0.06	2395
ATP1A1-AS1		1425	4.31
ATP1A2		0.13	5.58
ATP1B1		137205	57386
ATP1B2		415	2995
ATP2A3		8.18	36395
ATP2C2		5975	18.46
ATP5G1		222652	88425
ATP5G3		317.86	152868
ATP5J2		668344	288583
ATP5J2-PTCD1		6105	2135
ATP5L		404.5	193185
ATP6V0A1		21345	52771
ATP6V1B2		41.74	90302
ATP6V1E2		8295	3435
ATP8A1		1.7	14.83
ATP8B2		8825	25279
ATXN7		4.86	11615
AUNIP		3.79	0.3
AURKA		20559	1685
AURKB		32225	2285
AVIL		2695	6.57
AXIN2		2.96	18.2
AXL		9065	24179
AZGP1		2.7	10.09
AZIN1		71209	33
AZU1		0.07	4.2
B3GALNT2		11.99	5.11
B3GNT3		4.91	0.32
B3GNT5		41.86	12855
B3GNT7		3875	16.53
B3GNT8		5355	13305
B4GALNT1		5.31	1555
B4GALNT4		15.18	0.71
B4GALT2		48.2	20.78
B4GALT4		32.64	12.7
BAG4		10435	4.29
BAHCC1		3605	8.82
BAIAP3		1.64	6.13
BANF1		244653	112903
BARX1		3075	0.03
BARX2		3875	0.15
BATF3		3.37	8.95
BAZ2B		8245	18085
BBOX1-AS1		7575	0
BCAR3		7.37	17.05
BCAS4		11755	3.26
BCHE		2015	6735
BCL11A		13.85	1.62
BCL2A1		10.76	45296
BCL2L10		1515	0.04
BCL2L12		33225	13225
BCL3		52665	109049
BCL6		35865	131798
BCL6B		2.8	20.22
BCO2		1.26	3.84
BCRP3		2095	10285
BDH1		34.02	7.44
BDH2		17.6	50471
BEND7		2885	11.29
BEST1		1.74	10115
BET1P1		0	2.65
BEX1		345	2275
BEX5		2.9	10.01
BHMT2		0.38	3.92
BICC1		2165	5405
BID		63.46	20.54
BIK		13.63	1475
BIN2		4.2	21805
