SYMBOL	logFC
A2M	-4.371
A2ML1	2.574
AADACP1	1.345
AASS	-1.873
AATK	-3.024
ABC7-42404400C24.1	-2.589
ABCA10	-2.24
ABCA12	1.537
ABCA13	2.253
ABCA3	-4.129
ABCA6	-2.959
ABCA7	-1.698
ABCA8	-4.179
ABCA9	-2.679
ABCB1	-1.314
ABCC1	1.119
ABCC3	-1.143
ABCC5	2.122
ABCC6	-2.171
ABCC6P1	-1.278
ABCC8	-3.017
ABCC9	-1.593
ABCD4	-1.051
ABI3	-1.327
ABI3BP	-3.792
ABLIM2	-1.235
ABLIM3	-3.18
ABR	-1.805
ABRACL	1.657
ABTB1	-1.975
AC000123.3	-1.54
AC000123.4	-1.395
AC002116.8	-1.097
AC002398.12	-2.05
AC004540.4	-1.979
AC004540.5	-1.264
AC004623.3	-1.218
AC004967.7	1.011
AC005104.3	-1.672
AC005154.6	-1.94
AC005154.7	-1.572
AC005253.2	-1.389
AC005255.3	2.635
AC005336.4	1.041
AC005519.4	-1.489
AC005537.2	1.48
AC005538.3	1.512
AC005740.6	-1.151
AC005753.1	-1.139
AC005944.2	-1.376
AC006011.4	1.148
AC006116.20	1.105
AC006128.2	-2.136
AC006129.2	-1.042
AC006262.5	2.179
AC006273.5	-1.684
AC006449.2	-1.145
AC006547.13	-1.186
AC006547.14	-1.13
AC006942.4	-1.241
AC007009.1	-1.205
AC007193.10	-1.018
AC007278.3	-1.912
AC007326.1	-1.763
AC007405.6	-1.327
AC007566.10	-2.055
AC007743.1	-1.801
AC007879.7	1.166
AC007952.5	-1.216
AC008268.1	-2.399
AC009065.4	1.488
AC009120.6	-1.446
AC009264.1	1.124
AC009299.3	1.188
AC009950.2	-1.141
AC010168.1	-1.597
AC010894.3	1.197
AC010976.2	-1.109
AC015849.19	-1.097
AC016292.3	1.295
AC017104.6	-1.115
AC018766.4	-1.682
AC019117.2	-1.34
AC021066.1	-5.137
AC026471.6	-1.154
AC055736.1	6.163
AC055736.2	2.271
AC055736.3	8.357
AC058791.1	-1.018
AC068580.5	-1.742
AC068580.6	-1.846
AC068831.15	-1.78
AC068831.16	1.025
AC073850.6	-1.465
AC074286.1	1.467
AC074289.1	-1.162
AC079630.2	-1.304
AC079630.4	-2.464
AC079781.7	-1.278
AC083843.1	-1.566
AC083843.4	-1.235
AC090616.2	-1.901
AC093110.3	-3.21
AC093495.4	-2.113
AC093642.3	-1.003
AC093838.4	-1.122
AC093850.2	1.477
AC098973.2	4.055
AC104654.2	-1.052
AC108488.4	-1.304
AC109642.1	-1.993
AC114730.11	-1.201
AC116366.6	-1.677
AC130469.1	-1.003
AC132008.1	-1.121
AC132217.4	-1.255
AC137932.4	-1.033
AC137932.5	-1.019
AC137934.1	-1.276
AC138035.2	-2
AC144530.1	1.326
AC144831.1	-1.414
AC145124.2	-1.134
AC147651.4	-1.475
AC156455.1	-1.063
AC159540.1	-1.577
AC234582.1	-2.07
AC239868.2	1.304
AC239868.3	1.297
ACAA1	-1.138
ACAA2	-1.191
ACACB	-2.236
ACAD11	-1.435
ACAD8	-1.261
ACADL	-2.738
ACADVL	-1.923
ACAP1	-1.614
ACAP3	-1.548
ACBD4	-1.504
ACCS	-2.343
ACE	-1.853
ACHE	-1.164
ACKR1	-4.139
ACKR3	1.748
ACKR4	-1.703
ACOT7	1.106
ACOX2	-2.032
ACOXL	-1.918
ACP5	-1.163
ACR	-1.521
ACRBP	-1.521
ACRC	-1.391
ACSF2	-1.47
ACSL1	-2.127
ACSL5	-2.277
ACSM3	-1.574
ACSM5	-1.335
ACSS2	-1.43
ACSS3	-2.067
ACTA1	-2.317
ACTA2	-2.072
ACTA2-AS1	-2.707
ACTC1	-1.142
ACTG2	-3.287
ACTL6A	2.014
ACTN2	-2.588
ACTR3	1.32
ACVRL1	-3.824
ADAM12	1.958
ADAM23	3.361
ADAM33	-3.769
ADAM8	-1.178
ADAMDEC1	2.045
ADAMTS1	-2.788
ADAMTS10	-3.155
ADAMTS15	-2.033
ADAMTS2	-2.021
ADAMTS4	-1.974
ADAMTS7	-1.282
ADAMTS7P3	-4.204
ADAMTS8	-5.164
ADAMTS9	-2.737
ADAMTS9-AS1	-2.478
ADAMTS9-AS2	-1.589
ADAMTSL2	-2.732
ADAMTSL3	-2.505
ADAMTSL4	-3.442
ADAMTSL4-AS1	-1.115
ADARB1	-2.882
ADAT2	-1.221
ADCY10P1	-1.135
ADCY4	-4.272
ADCY5	-1.408
ADCY6	-1.887
ADCY7	-1.286
ADCY9	-1.434
ADD1	-1.469
ADGRA2	-1.451
ADGRB3	-1.233
ADGRD1	-4.277
ADGRE1	-1.082
ADGRE2	-1.056
ADGRE4P	-1.454
ADGRE5	-2.104
ADGRF4	1.908
ADGRF5	-3.966
ADGRG1	1.05
ADGRG3	-3.174
ADGRG6	-1.847
ADGRL2	-2.7
ADGRL4	-2.042
ADH1B	-6.825
ADH7	4.793
ADHFE1	-2.603
ADIRF	-2.286
ADIRF-AS1	-1.624
ADM2	1.242
ADM5	-1.136
ADORA2A	-1.508
ADORA2B	1.318
ADPRH	-1.206
ADRA1A	-2.31
ADRA1B	-1.845
ADRA1D	-1.464
ADRA2A	-1.111
ADRA2C	-1.059
ADRB1	-2.994
ADRB2	-2.23
AEBP1	-1.409
AF011889.2	-1.146
AF064858.8	-1.176
AF131215.2	-1.158
AF131215.9	-1.257
AFAP1L1	-2.174
AFF1	-1.377
AFF3	-2.61
AFG3L1P	-1.305
AGAP11	-2.051
AGAP3	-1.212
AGAP4	-1.419
AGAP5	-1.436
AGAP6	-1.847
AGAP9	-1.629
AGER	-6.501
AGO4	-1.102
AGPAT4	-1.401
AGR3	-2.237
AGRP	-1.464
AGT	-1.36
AGTPBP1	-1.393
AGTR1	-3.129
AGTR2	-1.095
AHCY	1.644
AHCYL2	-1.754
AHI1	-1.486
AHNAK	-1.208
AHNAK2	2.621
AHSA2	-1.97
AIF1	-1.097
AIF1L	-1.071
AIM1L	1.525
AIM2	1.117
AIMP2	1.174
AK1	-1.89
AK4	2.977
AK4P1	1.858
AKAP12	-3.031
AKAP13	-1.982
AKAP17A	-1.799
AKAP2	-2.801
AKAP8L	-1.418
AKAP9	-1.057
AKNA	-2.031
AKR1B10	5.85
AKR1B15	1.743
AKR1C1	2.589
AKR1C2	3.993
AKR1C3	1.406
AKT3	-1.723
AL157871.2	-1.266
AL158801.1	2.381
AL162151.3	1.618
AL442127.1	-3.301
AL589743.1	1.226
ALAS2	-1.193
ALB	-1.151
ALDH18A1	1.422
ALDH1A2	-1.887
ALDH2	-1.73
ALDH3A1	3.831
ALDH3B1	-3.102
ALDH3B2	3.81
ALDOA	1.192
ALDOC	1.652
ALG10	1.105
ALG1L	4.25
ALG3	1.722
ALOX12P2	1.066
ALOX15B	-3.058
ALOX5	-3.579
ALOX5AP	-2.594
ALPK1	-1.139
ALPK3	-1.936
ALPL	-2.676
ALPP	-2.026
ALS2CL	-2.539
ALS2CR12	-1.02
ALYREF	1.296
AMACR	1.275
AMDHD2	-1.067
AMICA1	-2.534
AMIGO2	-1.013
AMOTL2	-1.497
AMPD2	-1.246
AMT	-2.709
AMTN	1.083
AMY2B	-3.569
ANAPC2	-1.313
ANG	-1.73
ANGPT1	-2.783
ANGPTL1	-3.076
ANK2	-1.617
ANKDD1A	-1.399
ANKEF1	1.269
ANKH	1.043
ANKHD1-EIF4EBP3	-1.08
ANKRD1	-4.24
ANKRD10	-1.629
ANKRD10-IT1	-2.005
ANKRD13A	-1.002
ANKRD13D	-1.002
ANKRD18B	1.424
ANKRD20A17P	-1.202
ANKRD22	2.242
ANKRD29	-2.191
ANKRD36	-1.247
ANKRD36B	-1.275
ANKRD44	-1.869
ANKRD9	-1.202
ANKS1A	-1.117
ANKZF1	-1.272
ANLN	3.357
ANO2	-2.343
ANO6	-1.037
ANO8	-1.212
ANPEP	-2.695
ANTXR2	-1.373
ANXA2P2	1.356
ANXA3	-2.418
ANXA5	-1.111
ANXA6	-1.943
ANXA8	2.83
ANXA8L1	1.296
AOAH	-1.088
AOC2	-1.138
AOC3	-4.672
AOC4P	-2.059
AOX1	-3.466
AP000254.8	-1.211
AP000347.2	-1.279
AP000347.4	-1.278
AP000349.2	3.015
AP000442.1	-1.119
AP000892.6	-2.229
AP001062.7	-1.128
AP001062.8	-1.144
AP001189.4	-2.374
AP003391.1	4.61
AP1G2	-1.177
AP1S1	1.402
AP2A2	-1.243
APBB1	-2.452
APBB1IP	-1.84
APBB2	-1.531
APBB3	-2.137
APEX2	1.063
APOA1	-1.327
APOA1BP	1.253
APOBEC3A	-1.892
APOBEC3B	3.117
APOBEC3C	1.223
APOBR	-1.83
