Gene	Gistic(Q-value)	Cytoband	CNA	#	Freq CNA	Is Cancer Gene CN(source: OncoKB)
PTEN	0	10q23.31	HOMDEL	95	19.3%	Yes
ZC3H13	0	13q14.13	HOMDEL	87	17.7%	No
LRCH1	0	13q14.13-q14.2	HOMDEL	86	17.5%	No
SIAH3	0	13q14.13	HOMDEL	86	17.5%	No
GTF2F2	0	13q14.12-q14.13	HOMDEL	85	17.3%	No
LCP1	0	13q14.13	HOMDEL	85	17.3%	Yes
TPT1	0	13q14.13	HOMDEL	85	17.3%	No
GPALPP1	0	13q14.12	HOMDEL	85	17.3%	No
ERICH6B	0	13q14.13	HOMDEL	85	17.3%	No
LRRC63	0	13q14.13	HOMDEL	85	17.3%	No
SLC25A30	0	13q14.13	HOMDEL	85	17.3%	No
KCTD4	0	13q14.12-q14.13	HOMDEL	85	17.3%	No
RN7SKP3	0	13q14.12	HOMDEL	85	17.3%	No
RN7SL49P	0	13q14.12	HOMDEL	85	17.3%	No
RN7SL288P	0	13q14.13	HOMDEL	85	17.3%	No
CPB2	0	13q14.13	HOMDEL	84	17.1%	No
NUFIP1	0	13q14.12	HOMDEL	84	17.1%	No
COG3	0	13q14.13	HOMDEL	84	17.1%	No
SPERT	0	13q14.13	HOMDEL	84	17.1%	No
RNA5SP27	0	13q14.13	HOMDEL	84	17.1%	No
RN7SKP5	0	13q14.13	HOMDEL	84	17.1%	No
EGR3	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
DMTN	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
ESD	0	13q14.2	HOMDEL	83	16.9%	No
HTR2A	0	13q14.2	HOMDEL	83	16.9%	No
PPP3CC	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
FGF17	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
DOK2	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
SORBS3	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
NPM2	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
XPO7	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
SLC39A14	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
PHF11		13q14.2	HOMDEL	83	16.9%	No
SLC25A37	5.855e-30	8p21.2	HOMDEL	83	16.9%	No
PIWIL2	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
