Gene	ENSEMBL	median (tumor)	median (normal)	log2FC	adj.p.val	Rank
A1BG	ENSG00000121410.11	5.04	16.2	-1.51	2.89E-35	-34.5391021572435
A1BG-AS1	ENSG00000268895.5	1.05	3.295	-1.067	3.87E-59	-58.4122890349811
A1CF	ENSG00000148584.14	0	0.01	-0.014	0.00818	-2.08724669632868
A2M	ENSG00000175899.14	131.279	197.758	-0.587	3.14E-10	-9.50307035192679
A2M-AS1	ENSG00000245105.2	1.105	2.11	-0.563	6.02E-55	-54.2204035087422
A2ML1	ENSG00000166535.19	0.32	0.63	-0.304	7.84E-07	-6.10568393731556
A2MP1	ENSG00000256069.7	0.02	0.18	-0.21	1.21E-59	-58.9172146296836
A4GALT	ENSG00000128274.15	13.95	31.394	-1.116	8.21E-57	-56.0856568428806
A4GNT	ENSG00000118017.3	0	0.04	-0.057	6.56E-36	-35.1830961606243
AAAS	ENSG00000094914.12	33.935	51.85	-0.597	3.09E-34	-33.5100415205752
AACS	ENSG00000081760.16	17.925	12.32	0.507	1.43E-22	21.8446639625349
AACSP1	ENSG00000250420.8	0.01	0	0.014	0.417	0.379863945026242
AADAC	ENSG00000114771.13	0	0.03	-0.043	1.77E-16	-15.7520267336382
AADACL4	ENSG00000204518.2	0.01	0.095	-0.117	2.03E-37	-36.6925039620868
AADACP1	ENSG00000240602.7	0.04	0.08	-0.054	4.52E-07	-6.34486156518862
AADAT	ENSG00000109576.13	11.505	10.67	0.1	0.0243	1.61439372640169
AAED1	ENSG00000158122.11	6.165	5.285	0.189	0.00461	2.33629907461035
AAGAB	ENSG00000103591.12	25.209	21.505	0.22	6.51E-08	7.18641901143181
AAK1	ENSG00000115977.18	13.545	10.04	0.398	9.04E-08	7.04383156952464
AAMDC	ENSG00000087884.14	52.55	45.295	0.21	1.75E-05	4.75696195131371
AAMP	ENSG00000127837.9	130.888	96.091	0.442	5.83E-33	32.234331445241
AANAT	ENSG00000129673.9	0.04	0.12	-0.107	1.01E-28	-27.9956786262174
AAR2	ENSG00000131043.11	25.795	23.02	0.158	0.0397	1.40120949323689
AARD	ENSG00000205002.3	0.13	0.275	-0.174	1.53E-08	-7.8153085691824
AARS	ENSG00000090861.15	63.855	56.875	0.164	0.0674	1.17134010346468
AARS2	ENSG00000124608.4	7.08	7.37	-0.051	0.434	-0.362510270487489
AARSD1	ENSG00000266967.6	44.515	51.499	-0.206	5.77E-05	-4.23882418684427
AASDH	ENSG00000157426.13	4.985	5.595	-0.14	9.25E-05	-4.03385826726097
AASDHPPT	ENSG00000149313.10	13.915	11.515	0.253	0.176	0.75448733218585
AASS	ENSG00000008311.14	4.825	14.975	-1.456	5.6E-49	-48.2518119729938
AATBC	ENSG00000215458.8	0.34	1.005	-0.581	4E-15	-14.397940008672
AATF	ENSG00000275700.4	31.205	25.67	0.272	2.17E-29	28.6635402661515
AATK	ENSG00000181409.11	1.18	5.14	-1.494	5.69E-53	-52.2448877336049
AB019441.29	ENSG00000225200.2	1.605	1.26	0.205	3.01E-07	6.52143350440616
ABALON	ENSG00000281376.1	0.26	0.23	0.035	0.61	0.214670164989233
ABAT	ENSG00000183044.11	24.219	12.425	0.91	4.64E-14	13.3334820194451
ABBA01017803.1	ENSG00000279800.2	0.04	0.08	-0.054	0.000104	-3.98296666070122
ABC12-49244600F4.4	ENSG00000276144.1	0.28	0.65	-0.366	5.22E-28	-27.2823294969977
ABC7-42404400C24.1	ENSG00000277758.4	0.38	0.755	-0.347	5.47E-20	-19.2620126736666
ABCA1	ENSG00000165029.15	2.08	3.33	-0.491	3.95E-11	-10.4034029043735
ABCA10	ENSG00000154263.17	0.45	3.085	-1.494	2.6E-82	-81.5850266520292
ABCA11P	ENSG00000251595.7	3.295	4.85	-0.446	3.09E-29	-28.5100415205752
ABCA12	ENSG00000144452.14	0.02	0.04	-0.028	0.868	-0.061480274823508
ABCA13	ENSG00000179869.14	0.01	0.02	-0.014	0.19	-0.721246399047171
ABCA17P	ENSG00000238098.8	0.25	0.4	-0.163	2.52E-09	-8.59859945921846
ABCA2	ENSG00000107331.16	35.294	32.194	0.129	0.000669	3.17457388223218
ABCA3	ENSG00000167972.13	12.56	6.635	0.829	3.16E-44	43.5003129173816
ABCA4	ENSG00000198691.11	0.12	0.32	-0.237	3.69E-30	-29.4329736338409
ABCA5	ENSG00000154265.15	10.49	19.695	-0.849	1.1E-37	-36.9586073148418
ABCA6	ENSG00000154262.12	0.51	2.895	-1.367	3.96E-80	-79.4023048140745
ABCA7	ENSG00000064687.12	4.945	12.35	-1.167	1.86E-41	-40.7304870557821
ABCA8	ENSG00000141338.13	2.655	9.877	-1.573	5.19E-50	-49.2848326421515
ABCA9	ENSG00000154258.16	0.26	1.715	-1.108	5.66E-74	-73.2471835688117
ABCB1	ENSG00000085563.14	4.055	6.695	-0.606	5.31E-15	-14.2749054789185
ABCB10	ENSG00000135776.4	6.23	7.01	-0.148	0.00159	-2.79860287567955
ABCB4	ENSG00000005471.15	0.41	0.6	-0.182	7.69E-10	-9.11407366019857
ABCB5	ENSG00000004846.16	0.05	0.04	0.014	0.604	0.218963061378868
ABCB6	ENSG00000115657.12	38.55	35.92	0.099	3.77E-05	4.42365864979421
ABCB7	ENSG00000131269.15	9.675	10.535	-0.112	0.0424	-1.37263414340727
ABCB8	ENSG00000197150.12	17.69	19.374	-0.124	0.00262	-2.58169870868025
ABCB9	ENSG00000150967.17	2.06	3.555	-0.574	4.06E-36	-35.3914739664228
ABCC1	ENSG00000103222.18	18.61	18.765	-0.011	0.885	-0.053056729302175
ABCC10	ENSG00000124574.14	8.735	20.654	-1.153	7.74E-71	-70.1112590393171
ABCC11	ENSG00000121270.15	0.76	0.465	0.265	0.000112	3.95078197732982
ABCC2	ENSG00000023839.10	0.11	0.34	-0.272	3.17E-51	-50.4989407377822
ABCC3	ENSG00000108846.15	3.285	25.08	-2.606	7.72E-79	-78.1123826996643
ABCC4	ENSG00000125257.13	115.076	16.26	2.75	7.5E-74	73.1249387366083
ABCC5	ENSG00000114770.16	11.25	21.939	-0.905	1.06E-28	-27.9746941347352
ABCC6	ENSG00000091262.14	1.21	2.665	-0.73	1.34E-11	-10.8728952016352
ABCC6P1	ENSG00000256340.8	0.585	0.83	-0.207	9.89E-05	-4.00480370840282
ABCC6P2	ENSG00000255277.3	0.3	0.675	-0.366	3.49E-18	-17.4571745730408
ABCC8	ENSG00000006071.11	2.8	6.565	-0.993	1.63E-19	-18.787812395596
ABCC9	ENSG00000069431.10	1.605	3.98	-0.935	4.26E-38	-37.3705904008973
ABCD1	ENSG00000101986.11	6.155	9.7	-0.581	9.05E-35	-34.0433514207948
ABCD2	ENSG00000173208.3	0.08	0.14	-0.078	1.82E-10	-9.73992861201493
ABCD3	ENSG00000117528.11	15.68	16.87	-0.099	0.000111	-3.95467702121334
ABCD4	ENSG00000119688.20	23.98	43.477	-0.832	5.64E-46	-45.2487208960167
ABCE1	ENSG00000164163.10	18.75	15.885	0.226	0.00172	2.76447155309245
ABCF1	ENSG00000204574.12	32.54	32.955	-0.018	0.534	-0.272458742971443
ABCF2	ENSG00000033050.7	19.145	18.71	0.031	0.198	0.703334809738469
ABCF3	ENSG00000161204.11	43.03	53.599	-0.31	2.31E-11	-10.6363880201079
ABCG1	ENSG00000160179.18	14.46	7.97	0.785	7.6E-30	29.1191864077192
ABCG2	ENSG00000118777.10	2.615	4.625	-0.638	2.8E-22	-21.5528419686578
ABCG4	ENSG00000172350.9	0.05	0.3	-0.308	8.18E-92	-91.0872466963287
ABCG5	ENSG00000138075.11	0.02	0.04	-0.028	1.44E-06	-5.84163750790475
ABHD1	ENSG00000143994.13	2.845	2.09	0.315	0.000143	3.84466396253494
ABHD10	ENSG00000144827.8	25.225	16.62	0.574	5.91E-34	33.2284125191187
ABHD11	ENSG00000106077.18	67.365	52.405	0.356	2.46E-12	11.6090648928966
ABHD11-AS1	ENSG00000225969.1	1.99	0.675	0.836	1.28E-21	20.8927900303521
ABHD12	ENSG00000100997.18	63.089	39.935	0.647	2.55E-35	34.593459819566
ABHD12B	ENSG00000131969.14	0.03	0.12	-0.121	1.54E-24	-23.8124792791635
ABHD13	ENSG00000139826.5	4.275	4.25	0.007	0.225	0.647817481888638
ABHD14A	ENSG00000248487.8	30.694	22.579	0.427	2.07E-20	19.6840296545431
ABHD14A-ACY1	ENSG00000114786.15	0.77	1.09	-0.24	2.72E-12	-11.5654310959658
ABHD14B	ENSG00000114779.19	80.582	61.035	0.395	7.81E-17	16.1073489661227
ABHD15	ENSG00000168792.4	3.93	4.755	-0.223	2.75E-07	-6.56066730616974
ABHD16A	ENSG00000204427.11	51.195	59.726	-0.218	4.44E-12	-11.3526170298854
ABHD16B	ENSG00000183260.6	0	0.18	-0.239	0.0292	-1.53461714855158
ABHD17A	ENSG00000129968.15	49.755	56.474	-0.179	6.33E-05	-4.19859628998265
ABHD17AP1	ENSG00000198658.4	0.2	0.185	0.018	0.201	0.696803942579511
ABHD17AP3	ENSG00000250536.1	0.04	0.05	-0.014	0.000198	-3.70333480973847
ABHD17AP5	ENSG00000263366.2	0	0.015	-0.021	0.000245	-3.61083391563547
ABHD17AP6	ENSG00000226981.2	0.06	0.12	-0.079	4.7E-15	-14.3279021420643
ABHD17B	ENSG00000107362.13	11.37	8.29	0.413	8.46E-08	7.07262963696098
ABHD17C	ENSG00000136379.11	27.25	13.724	0.94	2.51E-31	30.600326278519
ABHD2	ENSG00000140526.16	66.244	20.875	1.62	2.08E-33	32.6819366650372
ABHD3	ENSG00000158201.9	11.16	10.945	0.026	0.738	0.131943638176958
ABHD4	ENSG00000100439.10	17.3	22.894	-0.385	3.62E-19	-18.4412914294668
ABHD5	ENSG00000011198.7	8.465	8.51	-0.007	0.286	-0.543633966870957
ABHD6	ENSG00000163686.13	3.7	5.66	-0.503	9.92E-31	-30.0034883278458
ABHD8	ENSG00000127220.5	8.61	13.51	-0.594	2.39E-40	-39.6216020990519
ABI1	ENSG00000136754.16	20.405	19.195	0.084	0.669	0.174573882232177
ABI2	ENSG00000138443.15	19.215	16.695	0.192	0.066	1.18045606445813
ABI3	ENSG00000108798.8	4.18	6.94	-0.616	2.34E-19	-18.6307841425899
ABI3BP	ENSG00000154175.16	3.94	6.965	-0.689	4.94E-17	-16.3062730510764
ABL1	ENSG00000097007.17	30.074	38.314	-0.339	3.2E-15	-14.4948500216801
ABL2	ENSG00000143322.19	2.83	3.055	-0.082	0.0137	-1.86327943284359
ABLIM1	ENSG00000099204.18	9.485	16.94	-0.775	9.81E-21	-20.0083309926201
ABLIM2	ENSG00000163995.18	1.39	2.075	-0.364	1.15E-09	-8.93930215964639
ABLIM3	ENSG00000173210.19	4.695	8.01	-0.662	2.07E-20	-19.6840296545431
ABO	ENSG00000175164.13	0.54	3.835	-1.651	3.26E-54	-53.4867823999321
ABR	ENSG00000159842.14	25.864	47.68	-0.858	6.55E-48	-47.1837587000082
ABRA	ENSG00000174429.3	0.04	0.09	-0.068	0.000285	-3.54515513999149
ABRACL	ENSG00000146386.7	29.03	17.615	0.69	1.04E-23	22.9829666607012
ABT1	ENSG00000146109.4	11.02	9.515	0.193	2.31E-08	7.63638802010786
ABTB1	ENSG00000114626.17	19.6	44.304	-1.137	2.34E-60	-59.6307841425899
ABTB2	ENSG00000166016.5	2.22	4.38	-0.741	2.06E-24	-23.6861327796308
AC000032.2	ENSG00000260246.1	0	0.625	-0.7	5.73E-51	-50.2418453780326
AC000036.4	ENSG00000225929.1	0	0.045	-0.063	8.68E-47	-46.0614802748235
AC000068.10	ENSG00000273212.1	0.99	1.075	-0.06	0.278	-0.555955204081924
AC000068.5	ENSG00000185065.6	0.945	0.59	0.291	3.55E-16	15.4497716469449
AC000068.9	ENSG00000273300.1	0.89	0	0.918	2.2E-16	15.6575773191778
AC000078.5	ENSG00000232926.1	0.385	0.91	-0.464	1.36E-21	-20.8664610916298
AC000089.3	ENSG00000235776.2	4.7	0.79	1.671	6.33E-95	94.1985962899826
AC000120.7	ENSG00000243107.1	0.1	0.375	-0.322	1.06E-47	-46.9746941347352
AC000123.2	ENSG00000280347.1	0.52	0.675	-0.14	1.42E-08	-7.84771165561694
AC000123.3	ENSG00000279265.1	1.585	3.7	-0.862	1.71E-32	-31.7670038896078
AC000123.4	ENSG00000224138.1	0.73	1.71	-0.648	5.04E-47	-46.2975694635545
AC000124.1	ENSG00000226770.1	0.17	0.035	0.177	3.11E-09	8.50723961097316
AC000403.4	ENSG00000278727.1	0.13	0.12	0.013	0.0618	1.20901152491118
AC001226.7	ENSG00000274898.1	0.2	0.55	-0.369	4.43E-27	-26.3535962737769
AC002044.1	ENSG00000279591.1	0.12	0.16	-0.051	0.000442	-3.35457773065091
AC002056.3	ENSG00000213683.4	0.11	0.09	0.026	0.0369	1.43297363384094
AC002059.10	ENSG00000273216.1	0.405	1.125	-0.597	2.15E-24	-23.6675615400844
AC002064.5	ENSG00000225498.1	0.27	0.58	-0.315	1.74E-12	-11.7594507517174
AC002066.1	ENSG00000237813.3	0	0.09	-0.124	2.71E-21	-20.5670307091256
AC002075.4	ENSG00000237729.2	0.44	0.355	0.088	0.382	0.417936637088291
AC002116.7	ENSG00000267698.1	0.35	0.285	0.071	0.00078	3.10790539730952
AC002116.8	ENSG00000248101.2	0.48	2.89	-1.394	6.42E-49	-48.1924649719312
AC002117.1	ENSG00000224505.2	0.14	0.21	-0.086	1.54E-09	-8.81247927916354
AC002310.10	ENSG00000260494.1	0.02	0	0.029	0.000832	3.07987667370928
AC002310.11	ENSG00000261459.1	0.7	0.875	-0.141	0.000828	-3.08196966321512
AC002310.12	ENSG00000235560.3	1.58	1.485	0.054	0.0742	1.12959609472097
AC002310.14	ENSG00000278922.1	1.17	1.25	-0.052	0.577	-0.238824186844269
AC002366.3	ENSG00000232392.1	0	0.02	-0.029	1.4E-25	-24.8538719643218
